,category,states_name_en,region_en,unique_number,id_no,rev_bis,name_en,short_description_en,justification_en,date_inscribed,secondary_dates,danger,date_end,danger_list,longitude,latitude,area_hectares,criteria_txt,category_short,iso_code,udnp_code,transboundary,yes
149,Mixed,China,Asia and the Pacific,507,437,,Mount Taishan," The sacred Mount Tai ('shan' means 'mountain') was the object of an imperial cult for nearly 2,000 years, and the artistic masterpieces found there are in perfect harmony with the natural landscape. It has always been a source of inspiration for Chinese artists and scholars and symbolizes ancient Chinese civilizations and beliefs. ",,1987,,0,,,117.1,36.26667,25000.0,(i)(ii)(iii)(iv)(v)(vi)(vii),M,cn,chn,0,True
150,Cultural,China,Asia and the Pacific,508,438,,The Great Wall," In c. 220 B.C., under Qin Shi Huang, sections of earlier fortifications were joined together to form a united defence system against invasions from the north. Construction continued up to the Ming dynasty (1368&ndash;1644), when the Great Wall became the world's largest military structure. Its historic and strategic importance is matched only by its architectural significance. ",,1987,,0,,,116.08333,40.41667,2151.55,(i)(ii)(iii)(iv)(vi),C,cn,chn,0,True
151,Cultural,China,Asia and the Pacific,510,439,Bis,Imperial Palaces of the Ming and Qing Dynasties in Beijing and Shenyang," Seat of supreme power for over five centuries (1416-1911), the Forbidden City in Beijing, with its landscaped gardens and many buildings (whose nearly 10,000 rooms contain furniture and works of art), constitutes a priceless testimony to Chinese civilization during the Ming and Qing dynasties. The Imperial Palace of the Qing Dynasty in Shenyang consists of 114 buildings constructed between 1625–26 and 1783. It contains an important library and testifies to the foundation of the last dynasty that ruled China, before it expanded its power to the centre of the country and moved the capital to Beijing. This palace then became auxiliary to the Imperial Palace in Beijing. This remarkable architectural edifice offers important historical testimony to the history of the Qing Dynasty and to the cultural traditions of the Manchu and other tribes in the north of China. "," <em>Criterion (i):</em> The Imperial Palaces represent masterpieces in the development of imperial palace architecture in China. 
 <em>Criterion (ii):</em> The architecture of the Imperial Palace complexes, particularly in Shenyang, exhibits an important interchange of influences of traditional architecture and Chinese palace architecture particularly in the 17th and 18th centuries. 
 <em>Criterion (iii):</em> The Imperial Palaces bear exceptional testimony to Chinese civilisation at the time of the Ming and Qing dynasties, being true reserves of landscapes, architecture, furnishings and objects of art, as well as carrying exceptional evidence to the living traditions and the customs of Shamanism practised by the Manchu people for centuries. 
 <em>Criterion (iv):</em> The Imperial Palaces provide outstanding examples of the greatest palatial architectural ensembles in China. They illustrate the grandeur of the imperial institution from the Qing Dynasty to the earlier Ming and Yuan dynasties, as well as Manchu traditions, and present evidence on the evolution of this architecture in the 17th and 18th centuries. ",1987,2004,0,,,123.4469444,41.79416667,12.96,(i)(ii)(iii)(iv),C,cn,chn,0,True
152,Cultural,China,Asia and the Pacific,511,440,,Mogao Caves," Situated at a strategic point along the Silk Route, at the crossroads of trade as well as religious, cultural and intellectual influences, the 492 cells and cave sanctuaries in Mogao are famous for their statues and wall paintings, spanning 1,000 years of Buddhist art. ",,1987,,0,,,94.81667,40.13333,0.0,(i)(ii)(iii)(iv)(v)(vi),C,cn,chn,0,True
153,Cultural,China,Asia and the Pacific,512,441,,Mausoleum of the First Qin Emperor," No doubt thousands of statues still remain to be unearthed at this archaeological site, which was not discovered until 1974. Qin (d. 210 B.C.), the first unifier of China, is buried, surrounded by the famous terracotta warriors, at the centre of a complex designed to mirror the urban plan of the capital, Xianyan. The small figures are all different; with their horses, chariots and weapons, they are masterpieces of realism and also of great historical interest. ",,1987,,0,,,109.1,34.38333333,0.0,(i)(iii)(iv)(vi),C,cn,chn,0,True
154,Cultural,China,Asia and the Pacific,521,449,,Peking Man Site at Zhoukoudian," Scientific work at the site, which lies 42 km south-west of Beijing, is still underway. So far, it has led to the discovery of the remains of <em>Sinanthropus pekinensis</em>, who lived in the Middle Pleistocene, along with various objects, and remains of <em>Homo sapiens sapiens</em> dating as far back as 18,000&ndash;11,000 B.C. The site is not only an exceptional reminder of the prehistorical human societies of the Asian continent, but also illustrates the process of evolution. ",,1987,,0,,,115.9166667,39.73333333,480.0,(iii)(vi),C,cn,chn,0,True
155,Mixed,China,Asia and the Pacific,1933,547,Bis,Mount Huangshan," Huangshan, known as 'the loveliest mountain of China', was acclaimed through art and literature during a good part of Chinese history (e.g. the Shanshui 'mountain and water' style of the mid-16th century). Today it holds the same fascination for visitors, poets, painters and photographers who come on pilgrimage to the site, which is renowned for its magnificent scenery made up of many granite peaks and rocks emerging out of a sea of clouds. ",,1990,,0,,,118.18333,30.16667,16060.0,(ii)(vii)(x),M,cn,chn,0,True
156,Natural,China,Asia and the Pacific,757,637,,Jiuzhaigou Valley Scenic and Historic Interest Area," Stretching over 72,000 ha in the northern part of Sichuan Province, the jagged Jiuzhaigou valley reaches a height of more than 4,800 m, thus comprising a series of diverse forest ecosystems. Its superb landscapes are particularly interesting for their series of narrow conic karst land forms and spectacular waterfalls. Some 140 bird species also inhabit the valley, as well as a number of endangered plant and animal species, including the giant panda and the Sichuan takin. ",,1992,,0,,,103.91667,33.08333,72000.0,(vii),N,cn,chn,0,True
157,Natural,China,Asia and the Pacific,758,638,,Huanglong Scenic and Historic Interest Area," Situated in the north-west of Sichaun Province, the Huanglong valley is made up of snow-capped peaks and the easternmost of all the Chinese glaciers. In addition to its mountain landscape, diverse forest ecosystems can be found, as well as spectacular limestone formations, waterfalls and hot springs. The area also has a population of endangered animals, including the giant panda and the Sichuan golden snub-nosed monkey. ",,1992,,0,,,103.82222,32.75417,60000.0,(vii),N,cn,chn,0,True
158,Natural,China,Asia and the Pacific,760,640,,Wulingyuan Scenic and Historic Interest Area," A spectacular area stretching over more than 26,000 ha in China's Hunan Province, the site is dominated by more than 3,000 narrow sandstone pillars and peaks, many over 200 m high. Between the peaks lie ravines and gorges with streams, pools and waterfalls, some 40 caves, and two large natural bridges. In addition to the striking beauty of the landscape, the region is also noted for the fact that it is home to a number of endangered plant and animal species. ",,1992,,0,,,110.5,29.33333,26400.0,(vii),N,cn,chn,0,True
