Year,count,count_cumsum,europe_cumsum,asia_cumsum,na_cumsum,africa_cumsum,sa_cumsum,oca_cumsum,aus_cumsum
1978,12,12,3,0,4,3,2,0,0
1979,45,57,23,6,9,13,4,0,0
1980,27,84,31,12,10,20,7,0,0
1981,26,110,38,14,14,24,10,0,3
1982,24,134,40,18,15,34,14,0,5
1983,29,163,55,22,18,36,19,0,5
1984,22,185,62,29,21,38,21,0,5
1985,30,215,71,41,22,42,25,0,5
1986,29,244,87,48,22,45,27,0,6
1987,41,285,99,60,26,47,36,0,7
1988,27,312,109,67,26,52,40,0,8
1989,7,319,112,68,26,55,40,0,8
1990,16,335,120,70,26,56,43,2,8
1991,22,357,128,78,26,58,46,2,9
1992,20,377,139,83,27,59,47,2,10
1993,33,410,155,94,27,59,53,2,10
1994,28,438,167,103,27,61,57,2,11
1995,29,467,182,106,30,61,62,2,11
1996,37,504,205,113,30,64,65,2,11
1997,46,550,230,119,30,69,71,2,13
1998,30,580,249,125,30,69,74,4,13
1999,48,628,270,135,31,73,86,4,13
2000,61,689,301,147,31,75,98,4,14
2001,31,720,318,152,31,80,102,4,14
2002,9,729,322,154,31,81,104,4,14
2003,24,753,330,162,31,84,107,4,15
2004,33,786,345,172,31,88,109,4,16
2005,24,810,354,180,31,91,113,4,16
2006,18,828,359,185,31,94,116,4,16
2007,22,850,366,192,32,98,117,4,17
2008,27,877,376,201,33,100,120,6,17
2009,13,890,382,204,33,102,121,6,17
2010,21,911,386,213,34,102,124,8,18
2011,25,936,392,223,34,107,127,8,19
2012,26,962,399,233,35,112,128,9,19
2013,19,981,405,240,36,114,129,10,19
2014,26,1007,411,254,37,115,131,10,19
2015,24,1031,419,265,38,115,134,10,19
2016,21,1052,424,274,39,117,137,11,19
2017,21,1073,432,281,39,120,139,11,19
2018,19,1092,438,288,40,122,141,11,19
2019,29,1121,450,299,42,123,142,11,20
